n,steps,max,sequence
1,0,1,"1"
2,1,2,"2,1"
3,7,16,"3,10,5,16,8,4,2,1"
4,2,4,"4,2,1"
5,5,16,"5,16,8,4,2,1"
6,8,16,"6,3,10,5,16,8,4,2,1"
7,16,52,"7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
8,3,8,"8,4,2,1"
9,19,52,"9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
10,6,16,"10,5,16,8,4,2,1"
11,14,52,"11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
12,9,16,"12,6,3,10,5,16,8,4,2,1"
13,9,40,"13,40,20,10,5,16,8,4,2,1"
14,17,52,"14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
15,17,160,"15,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
16,4,16,"16,8,4,2,1"
17,12,52,"17,52,26,13,40,20,10,5,16,8,4,2,1"
18,20,52,"18,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
19,20,88,"19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
20,7,20,"20,10,5,16,8,4,2,1"
21,7,64,"21,64,32,16,8,4,2,1"
22,15,52,"22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
23,15,160,"23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
24,10,24,"24,12,6,3,10,5,16,8,4,2,1"
25,23,88,"25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
26,10,40,"26,13,40,20,10,5,16,8,4,2,1"
27,111,9232,"27,82,41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310,155,466,233,700,350,175,526,263,790,395,1186,593,1780,890,445,1336,668,334,167,502,251,754,377,1132,566,283,850,425,1276,638,319,958,479,1438,719,2158,1079,3238,1619,4858,2429,7288,3644,1822,911,2734,1367,4102,2051,6154,3077,9232,4616,2308,1154,577,1732,866,433,1300,650,325,976,488,244,122,61,184,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
28,18,52,"28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
29,18,88,"29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
30,18,160,"30,15,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
31,106,9232,"31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310,155,466,233,700,350,175,526,263,790,395,1186,593,1780,890,445,1336,668,334,167,502,251,754,377,1132,566,283,850,425,1276,638,319,958,479,1438,719,2158,1079,3238,1619,4858,2429,7288,3644,1822,911,2734,1367,4102,2051,6154,3077,9232,4616,2308,1154,577,1732,866,433,1300,650,325,976,488,244,122,61,184,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
32,5,32,"32,16,8,4,2,1"
33,26,100,"33,100,50,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
34,13,52,"34,17,52,26,13,40,20,10,5,16,8,4,2,1"
35,13,160,"35,106,53,160,80,40,20,10,5,16,8,4,2,1"
36,21,52,"36,18,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
37,21,112,"37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
38,21,88,"38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
39,34,304,"39,118,59,178,89,268,134,67,202,101,304,152,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
40,8,40,"40,20,10,5,16,8,4,2,1"
41,109,9232,"41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310,155,466,233,700,350,175,526,263,790,395,1186,593,1780,890,445,1336,668,334,167,502,251,754,377,1132,566,283,850,425,1276,638,319,958,479,1438,719,2158,1079,3238,1619,4858,2429,7288,3644,1822,911,2734,1367,4102,2051,6154,3077,9232,4616,2308,1154,577,1732,866,433,1300,650,325,976,488,244,122,61,184,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
42,8,64,"42,21,64,32,16,8,4,2,1"
43,29,196,"43,130,65,196,98,49,148,74,37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
44,16,52,"44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
45,16,136,"45,136,68,34,17,52,26,13,40,20,10,5,16,8,4,2,1"
46,16,160,"46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1"
